index,non_funding variables,mutual_info_score
231,Unnamed: 234,0.000505287
154,Unnamed: 157,0.000505287
139,O) Organization or Individual Funded,0.000476184
110,Unnamed: 113,0.000469592
29,G3) Research Approaches Not Used,0.000430491
148,Unnamed: 151,0.000423622
144,Unnamed: 147,0.000410076
242,Y2) Summative Evaluation Type,0.000407969
248,Y4) Portfolio Evaluation/Review Type,0.00040414
80,Unnamed: 83,0.000403533
187,Unnamed: 190,0.000403034
232,Unnamed: 235,0.000357307
135,Unnamed: 138,0.000302827
137,Unnamed: 140,0.000270398
186,Unnamed: 189,0.000263618
179,Unnamed: 182,0.000249529
74,Unnamed: 77,0.000242014
200,Unnamed: 203,0.000233374
64,Unnamed: 67,0.000233328
16,Unnamed: 19,0.000217559
68,Unnamed: 71,0.000216487
62,Unnamed: 65,0.000195895
72,I5) Education Researchers Targeted? ,0.00018867
195,Unnamed: 198,0.000168837
66,I3) In-service STEM Teachers Targeted? Specify.,0.000138482
102,Unnamed: 105,0.000118515
111,Unnamed: 114,0.000118515
32,Unnamed: 35,0.000115369
27,Unnamed: 30,0.000115369
82,I8) Post-secondary Staff Targeted? Specify.,7.72E-05
75,Unnamed: 78,7.53E-05
136,Unnamed: 139,6.98E-05
51,Unnamed: 54,6.42E-05
9,F2) Secondary Investment Objectives,5.90E-05
202,Unnamed: 205,4.97E-05
77,Unnamed: 80,4.88E-05
53,I1) STEM Learners Targeted? Specify.,3.99E-05
193,Unnamed: 196,3.56E-05
208,Unnamed: 211,3.10E-05
26,Unnamed: 29,2.84E-05
251,Y5) Expert Review Type,2.76E-05
46,Unnamed: 49,2.07E-05
146,Unnamed: 149,1.45E-05
182,Unnamed: 185,1.13E-05
167,Unnamed: 170,1.13E-05
188,Unnamed: 191,1.13E-05
170,Unnamed: 173,1.13E-05
19,G1) Primary Research Approaches,1.12E-05
69,Unnamed: 72,1.04E-05
196,Unnamed: 199,5.90E-06
190,Unnamed: 193,5.59E-06
191,Unnamed: 194,5.59E-06
122,Unnamed: 125,5.59E-06
127,Unnamed: 130,5.59E-06
192,Unnamed: 195,5.59E-06
140,Unnamed: 143,4.15E-06
250,Unnamed: 253,1.16E-06
239,Y1) Formative Evaluation Type,4.61E-07
76,Unnamed: 79,-4.16E-17
217,Unnamed: 220,-4.16E-17
